doc_name,section_name,number_of_lines
node_modules/@octokit/oauth-methods/README.md,`exchangeWebFlowCode()`,105
node_modules/@octokit/auth-oauth-device/README.md,GitHub APP user authentication with expiring tokens enabled,105
sql-statements/sql-statement-revoke-role.md,Examples,105
identify-slow-queries.md,Fields description,104
node_modules/@octokit/auth-oauth-user/README.md,When using GitHub's OAuth web flow,104
information-schema/information-schema-partitions.md,PARTITIONS,104
information-schema/information-schema-columns.md,COLUMNS,104
dm/dm-open-api.md,Example,104
system-variables.md,"tidb_opt_range_max_size <span class=""version-mark"">New in v6.4.0</span>",103
functions-and-operators/encryption-and-compression-functions.md,[`VALIDATE_PASSWORD_STRENGTH()`](https://dev.mysql.com/doc/refman/8.0/en/encryption-functions.html#function_validate-password-strength),103
releases/release-8.5.2.md,Bug fixes,102
tidb-cloud/import-sample-data.md,Import Sample Data into TiDB Cloud Dedicated,102
node_modules/micromark/readme.md,Extending markdown,102
information-schema/information-schema-runaway-watches.md,Examples,102
information-schema/information-schema.md,Tables that are TiDB extensions,102
releases/release-7.5.5.md,Bug fixes,101
releases/release-5.3.2.md,Bug Fixes,101
scale-tidb-using-tiup.md,Scale out a TiDB/PD/TiKV cluster,100
post-installation-check.md,Database operations,100
releases/release-5.1.4.md,Bug fixes,100
ticdc/integrate-confluent-using-ticdc.md,Create data replicas of TiDB tables in Snowflake,100
node_modules/semver/README.md,Usage,100
releases/release-6.5.1.md,Bug fixes,99
node_modules/@octokit/auth-oauth-user/README.md,When using GitHub's OAuth device flow,99
sql-statements/sql-statement-admin-show-ddl.md,`ADMIN SHOW DDL JOBS`,99
tidb-lightning/tidb-lightning-error-resolution.md,Error report,99
TOC-tidb-cloud.md,DEVELOP,98
sql-prepared-plan-cache.md,SQL Prepared Execution Plan Cache,98
dm/dm-continuous-data-validation.md,View the validation status,98
dm/handle-failed-ddl-statements.md,Non-shard-merge scenario,97
node_modules/jsonwebtoken/README.md,"jwt.verify(token, secretOrPublicKey, [options, callback])",96
node_modules/@octokit/oauth-methods/README.md,`refreshToken()`,96
develop/dev-guide-delete-data.md,Example,95
dm/dm-faq.md,"In DM v2.0, why does the query result of the command `query-status` show that the Syncer checkpoint GTIDs are inconsecutive if the task has `enable-relay` and `enable-gtid` enabled at the same time?",95
dm/handle-failed-ddl-statements.md,Non-shard-merge scenario,95
partitioned-table.md,Partition selection,94
releases/release-5.0.6.md,Bug fixes,94
releases/release-8.2.0.md,Bug fixes,94
tidb-cloud/serverless-external-storage.md,Configure Amazon S3 access using a Role ARN,94
node_modules/@octokit/oauth-methods/README.md,`checkToken()`,94
node_modules/@octokit/auth-app/README.md,User authentication (web flow),94
node_modules/@octokit/auth-oauth-device/README.md,`createOAuthDeviceAuth(options)`,94
node_modules/@octokit/auth-oauth-app/README.md,OAuth device flow,94
node_modules/@octokit/auth-oauth-app/README.md,OAuth user access token authentication,94
releases/release-5.3.1.md,Bug fixes,93
releases/release-3.0-ga.md,TiDB,93
ticdc/ticdc-open-protocol.md,Row Changed Event,93
tidb-cloud/tidb-cloud-console-auditing.md,Console audit event types,93
node_modules/@octokit/oauth-methods/README.md,`resetToken()`,93
node_modules/@octokit/oauth-methods/README.md,`deleteToken()`,93
node_modules/@octokit/oauth-methods/README.md,`deleteAuthorization()`,93
node_modules/@octokit/auth-oauth-app/README.md,OAuth web flow,93
sql-statements/sql-statement-create-user.md,Examples,93
develop/dev-guide-gui-vscode-sqltools.md,Connect to TiDB,92
ticdc/ticdc-open-api-v2.md,Parameters for the request body,92
node_modules/before-after-hook/README.md,hookCollection(),92
functions-and-operators/group-by-modifier.md,Examples,92
quick-start-with-tidb.md,# Monitored variables are applied to all the machines.,91
explain-indexes.md,IndexFullScan,91
releases/release-7.1.3.md,Bug fixes,91
releases/release-8.5.0.md,Bug fixes,91
releases/release-7.1.0.md,Bug fixes,91
releases/release-6.6.0.md,Bug fixes,90
releases/release-8.3.0.md,Bug fixes,90
tidb-cloud/import-csv-files.md,Step 4. Import CSV files to TiDB Cloud,90
node_modules/universal-github-app-jwt/README.md,`githubAppJwt(options)`,90
sql-statements/sql-statement-show-columns-from.md,Examples,90
dm/manually-handling-sharding-ddl-locks.md,Manual solution,90
releases/release-5.1.5.md,Bug fixes,89
releases/release-2.1-rc.1.md,TiDB,89
ticdc/ticdc-avro-checksum-verification.md,Decode data and get the corresponding schema,89
tidb-cloud/data-service-response-and-status-code.md,Response,89
pd-control.md,`config [show | set service-middleware <option> [<key> <value> | <label> <qps|concurrency> <value>]]`,88
check-before-deployment.md,Check and install the NTP service,88
read-historical-data.md,Example,88
releases/release-6.0.0-dmr.md,System variables,88
